operator,classic:greedy_insertion,classic:regret_2,classic:regret_3,classic:greedy_with_noise,classic:best_position_first,classic:sequential_insertion,control:sequential_rewrite,specialist:block_reinsert,specialist:new_route,qwen:chain_00:g08,qwen:chain_01:g07,qwen:chain_02:g08,qwen:chain_03:g06
classic:greedy_insertion,0.00000000,0.83333333,0.83333333,0.88695652,0.89690722,0.84313725,0.89189189,0.93589744,0.80851064,0.91975309,0.90625000,0.94312796,0.90789474
classic:regret_2,0.83333333,0.00000000,0.00000000,0.92792793,0.92307692,0.86363636,0.89393939,0.95333333,0.85365854,0.94936709,0.94267516,0.96116505,0.94630872
classic:regret_3,0.83333333,0.00000000,0.00000000,0.92792793,0.92307692,0.86363636,0.89393939,0.95333333,0.85365854,0.94936709,0.94267516,0.96116505,0.94630872
classic:greedy_with_noise,0.88695652,0.92792793,0.92792793,0.00000000,0.71812081,0.87401575,0.81428571,0.86363636,0.88000000,0.69849246,0.77830189,0.83269962,0.83720930
classic:best_position_first,0.89690722,0.92307692,0.92307692,0.71812081,0.00000000,0.72916667,0.72807018,0.83163265,0.82178218,0.72727273,0.81000000,0.86055777,0.85500000
classic:sequential_insertion,0.84313725,0.86363636,0.86363636,0.87401575,0.72916667,0.00000000,0.77215190,0.78523490,0.42222222,0.86227545,0.88888889,0.90322581,0.87577640
control:sequential_rewrite,0.89189189,0.89393939,0.89393939,0.81428571,0.72807018,0.77215190,0.00000000,0.86033520,0.82500000,0.84864865,0.84864865,0.89873418,0.83428571
specialist:block_reinsert,0.93589744,0.95333333,0.95333333,0.86363636,0.83163265,0.78523490,0.86033520,0.00000000,0.82119205,0.83070866,0.87072243,0.80622837,0.87058824
specialist:new_route,0.80851064,0.85365854,0.85365854,0.88000000,0.82178218,0.42222222,0.82500000,0.82119205,0.00000000,0.88023952,0.91279070,0.91705069,0.86624204
qwen:chain_00:g08,0.91975309,0.94936709,0.94936709,0.69849246,0.72727273,0.86227545,0.84864865,0.83070866,0.88023952,0.00000000,0.74590164,0.77931034,0.80722892
qwen:chain_01:g07,0.90625000,0.94267516,0.94267516,0.77830189,0.81000000,0.88888889,0.84864865,0.87072243,0.91279070,0.74590164,0.00000000,0.81605351,0.80241935
qwen:chain_02:g08,0.94312796,0.96116505,0.96116505,0.83269962,0.86055777,0.90322581,0.89873418,0.80622837,0.91705069,0.77931034,0.81605351,0.00000000,0.81849315
qwen:chain_03:g06,0.90789474,0.94630872,0.94630872,0.83720930,0.85500000,0.87577640,0.83428571,0.87058824,0.86624204,0.80722892,0.80241935,0.81849315,0.00000000
