operator,classic:greedy_insertion,classic:regret_2,classic:regret_3,classic:greedy_with_noise,classic:best_position_first,classic:sequential_insertion,control:sequential_rewrite,specialist:block_reinsert,specialist:new_route,qwen:chain_00:g08,qwen:chain_01:g07,qwen:chain_02:g08,qwen:chain_03:g06
classic:greedy_insertion,0.00000000,0.25719291,0.24818715,0.26253188,0.23354628,0.25454480,0.25454480,0.25583068,0.33256354,0.40410425,0.25627595,0.25068667,0.38253575
classic:regret_2,0.25719291,0.00000000,0.18959224,0.26482925,0.24737383,0.24074331,0.24074331,0.24206907,0.34094833,0.40839960,0.22708125,0.19237307,0.37385202
classic:regret_3,0.24818715,0.18959224,0.00000000,0.27985761,0.28034975,0.23071560,0.23071560,0.23892456,0.34294486,0.41473468,0.21459389,0.21318561,0.36356898
classic:greedy_with_noise,0.26253188,0.26482925,0.27985761,0.00000000,0.20964888,0.26757055,0.26757055,0.27229572,0.34207228,0.41517809,0.28850660,0.28599045,0.38601184
classic:best_position_first,0.23354628,0.24737383,0.28034975,0.20964888,0.00000000,0.25354284,0.25354284,0.25729284,0.34287163,0.40626069,0.27215207,0.27205047,0.39109374
classic:sequential_insertion,0.25454480,0.24074331,0.23071560,0.26757055,0.25354284,0.00000000,0.00000000,0.00820896,0.34173417,0.41199732,0.25747679,0.25187424,0.37149295
control:sequential_rewrite,0.25454480,0.24074331,0.23071560,0.26757055,0.25354284,0.00000000,0.00000000,0.00820896,0.34173417,0.41199732,0.25747679,0.25187424,0.37149295
specialist:block_reinsert,0.25583068,0.24206907,0.23892456,0.27229572,0.25729284,0.00820896,0.00820896,0.00000000,0.34045977,0.41259408,0.26074477,0.25452763,0.37535768
specialist:new_route,0.33256354,0.34094833,0.34294486,0.34207228,0.34287163,0.34173417,0.34173417,0.34045977,0.00000000,0.31656529,0.34376289,0.34413362,0.33679022
qwen:chain_00:g08,0.40410425,0.40839960,0.41473468,0.41517809,0.40626069,0.41199732,0.41199732,0.41259408,0.31656529,0.00000000,0.40063718,0.40372895,0.40775381
qwen:chain_01:g07,0.25627595,0.22708125,0.21459389,0.28850660,0.27215207,0.25747679,0.25747679,0.26074477,0.34376289,0.40063718,0.00000000,0.23725032,0.37385586
qwen:chain_02:g08,0.25068667,0.19237307,0.21318561,0.28599045,0.27205047,0.25187424,0.25187424,0.25452763,0.34413362,0.40372895,0.23725032,0.00000000,0.37139823
qwen:chain_03:g06,0.38253575,0.37385202,0.36356898,0.38601184,0.39109374,0.37149295,0.37149295,0.37535768,0.33679022,0.40775381,0.37385586,0.37139823,0.00000000
