operator,classic:greedy_insertion,classic:regret_2,classic:regret_3,classic:greedy_with_noise,classic:best_position_first,classic:sequential_insertion,control:sequential_rewrite,specialist:block_reinsert,specialist:new_route,qwen:chain_00:g08,qwen:chain_01:g07,qwen:chain_02:g08,qwen:chain_03:g06
classic:greedy_insertion,0.00000000,0.09953096,0.08846154,0.15168856,0.16913696,0.13105066,0.13105066,0.12767355,0.40975610,0.42101313,0.11088180,0.09268293,0.25506567
classic:regret_2,0.09953096,0.00000000,0.05769231,0.12495310,0.09962477,0.11135084,0.11135084,0.12251407,0.41125704,0.43958724,0.13123827,0.04887430,0.21219512
classic:regret_3,0.08846154,0.05769231,0.00000000,0.17645403,0.15562852,0.11454034,0.11454034,0.11575985,0.39652908,0.45384615,0.10121951,0.09784240,0.24643527
classic:greedy_with_noise,0.15168856,0.12495310,0.17645403,0.00000000,0.06191370,0.09681051,0.09681051,0.10844278,0.32645403,0.36397749,0.19652908,0.14080675,0.21060038
classic:best_position_first,0.16913696,0.09962477,0.15562852,0.06191370,0.00000000,0.11679174,0.11679174,0.14540338,0.32157598,0.37467167,0.17579737,0.15056285,0.20234522
classic:sequential_insertion,0.13105066,0.11135084,0.11454034,0.09681051,0.11679174,0.00000000,0.00000000,0.00984991,0.34530957,0.39015009,0.14418386,0.12026266,0.26613508
control:sequential_rewrite,0.13105066,0.11135084,0.11454034,0.09681051,0.11679174,0.00000000,0.00000000,0.00984991,0.34530957,0.39015009,0.14418386,0.12026266,0.26613508
specialist:block_reinsert,0.12767355,0.12251407,0.11575985,0.10844278,0.14540338,0.00984991,0.00984991,0.00000000,0.33358349,0.39174484,0.16979362,0.13452158,0.26923077
specialist:new_route,0.40975610,0.41125704,0.39652908,0.32645403,0.32157598,0.34530957,0.34530957,0.33358349,0.00000000,0.15853659,0.39212008,0.43208255,0.30712946
qwen:chain_00:g08,0.42101313,0.43958724,0.45384615,0.36397749,0.37467167,0.39015009,0.39015009,0.39174484,0.15853659,0.00000000,0.40600375,0.43958724,0.42711069
qwen:chain_01:g07,0.11088180,0.13123827,0.10121951,0.19652908,0.17579737,0.14418386,0.14418386,0.16979362,0.39212008,0.40600375,0.00000000,0.11988743,0.25984991
qwen:chain_02:g08,0.09268293,0.04887430,0.09784240,0.14080675,0.15056285,0.12026266,0.12026266,0.13452158,0.43208255,0.43958724,0.11988743,0.00000000,0.20562852
qwen:chain_03:g06,0.25506567,0.21219512,0.24643527,0.21060038,0.20234522,0.26613508,0.26613508,0.26923077,0.30712946,0.42711069,0.25984991,0.20562852,0.00000000
