operator,classic:greedy_insertion,classic:regret_2,classic:regret_3,classic:greedy_with_noise,classic:best_position_first,classic:sequential_insertion,control:sequential_rewrite,specialist:block_reinsert,specialist:new_route,qwen:chain_00:g08,qwen:chain_01:g07,qwen:chain_02:g08,qwen:chain_03:g06
classic:greedy_insertion,0.00000000,0.98998447,0.98998447,0.89903910,0.71920362,0.63986541,0.65302266,0.96929344,1.00000000,0.98293371,0.80854427,1.00000000,0.90747552
classic:regret_2,0.98998447,0.00000000,0.00000000,0.95339405,0.96302601,0.95995915,0.99020036,0.99197278,1.00000000,0.95332131,0.98343930,0.55574842,0.96736630
classic:regret_3,0.98998447,0.00000000,0.00000000,0.95339405,0.96302601,0.95995915,0.99020036,0.99197278,1.00000000,0.95332131,0.98343930,0.55574842,0.96736630
classic:greedy_with_noise,0.89903910,0.95339405,0.95339405,0.00000000,0.51729005,0.92612921,0.83071870,0.98235321,0.98400636,0.65498830,0.86981629,0.90419489,0.90120783
classic:best_position_first,0.71920362,0.96302601,0.96302601,0.51729005,0.00000000,0.68623587,0.61331600,0.96221598,0.98119220,0.84217273,0.67642956,0.92125070,0.87130483
classic:sequential_insertion,0.63986541,0.95995915,0.95995915,0.92612921,0.68623587,0.00000000,0.50726081,0.94427778,0.97826168,0.95014827,0.92950587,1.00000000,0.93230195
control:sequential_rewrite,0.65302266,0.99020036,0.99020036,0.83071870,0.61331600,0.50726081,0.00000000,0.95656689,1.00000000,0.96735017,0.85195890,1.00000000,0.88258373
specialist:block_reinsert,0.96929344,0.99197278,0.99197278,0.98235321,0.96221598,0.94427778,0.95656689,0.00000000,0.87587014,0.99316088,0.98671223,1.00000000,0.99191390
specialist:new_route,1.00000000,1.00000000,1.00000000,0.98400636,0.98119220,0.97826168,1.00000000,0.87587014,0.00000000,1.00000000,1.00000000,0.97232848,1.00000000
qwen:chain_00:g08,0.98293371,0.95332131,0.95332131,0.65498830,0.84217273,0.95014827,0.96735017,0.99316088,1.00000000,0.00000000,0.97430990,0.77012630,0.91105788
qwen:chain_01:g07,0.80854427,0.98343930,0.98343930,0.86981629,0.67642956,0.92950587,0.85195890,0.98671223,1.00000000,0.97430990,0.00000000,1.00000000,0.51044410
qwen:chain_02:g08,1.00000000,0.55574842,0.55574842,0.90419489,0.92125070,1.00000000,1.00000000,1.00000000,0.97232848,0.77012630,1.00000000,0.00000000,0.83321060
qwen:chain_03:g06,0.90747552,0.96736630,0.96736630,0.90120783,0.87130483,0.93230195,0.88258373,0.99191390,1.00000000,0.91105788,0.51044410,0.83321060,0.00000000
