operator,classic:greedy_insertion,classic:regret_2,classic:regret_3,classic:greedy_with_noise,classic:best_position_first,classic:sequential_insertion,control:sequential_rewrite,specialist:block_reinsert,specialist:new_route,qwen:chain_00:g08,qwen:chain_01:g07,qwen:chain_02:g08,qwen:chain_03:g06
classic:greedy_insertion,0.00000000,0.50000000,0.50000000,0.46666667,0.60000000,0.45000000,0.45000000,0.70000000,0.93333333,0.61666667,0.50000000,0.50000000,0.50000000
classic:regret_2,0.50000000,0.00000000,0.60000000,0.53333333,0.53333333,0.50000000,0.50000000,0.70000000,0.95000000,0.65000000,0.55000000,0.61666667,0.51666667
classic:regret_3,0.50000000,0.60000000,0.00000000,0.53333333,0.53333333,0.50000000,0.50000000,0.70000000,0.95000000,0.65000000,0.55000000,0.61666667,0.51666667
classic:greedy_with_noise,0.46666667,0.53333333,0.53333333,0.00000000,0.45000000,0.50000000,0.50000000,0.68333333,0.93333333,0.71666667,0.48333333,0.53333333,0.48333333
classic:best_position_first,0.60000000,0.53333333,0.53333333,0.45000000,0.00000000,0.61666667,0.61666667,0.70000000,0.95000000,0.61666667,0.51666667,0.53333333,0.51666667
classic:sequential_insertion,0.45000000,0.50000000,0.50000000,0.50000000,0.61666667,0.00000000,0.33333333,0.70000000,0.93333333,0.61666667,0.51666667,0.50000000,0.48333333
control:sequential_rewrite,0.45000000,0.50000000,0.50000000,0.50000000,0.61666667,0.33333333,0.00000000,0.70000000,0.93333333,0.61666667,0.51666667,0.50000000,0.48333333
specialist:block_reinsert,0.70000000,0.70000000,0.70000000,0.68333333,0.70000000,0.70000000,0.70000000,0.00000000,0.81666667,0.71666667,0.71666667,0.70000000,0.70000000
specialist:new_route,0.93333333,0.95000000,0.95000000,0.93333333,0.95000000,0.93333333,0.93333333,0.81666667,0.00000000,0.93333333,0.95000000,0.95000000,0.95000000
qwen:chain_00:g08,0.61666667,0.65000000,0.65000000,0.71666667,0.61666667,0.61666667,0.61666667,0.71666667,0.93333333,0.00000000,0.61666667,0.60000000,0.61666667
qwen:chain_01:g07,0.50000000,0.55000000,0.55000000,0.48333333,0.51666667,0.51666667,0.51666667,0.71666667,0.95000000,0.61666667,0.00000000,0.51666667,0.50000000
qwen:chain_02:g08,0.50000000,0.61666667,0.61666667,0.53333333,0.53333333,0.50000000,0.50000000,0.70000000,0.95000000,0.60000000,0.51666667,0.00000000,0.51666667
qwen:chain_03:g06,0.50000000,0.51666667,0.51666667,0.48333333,0.51666667,0.48333333,0.48333333,0.70000000,0.95000000,0.61666667,0.50000000,0.51666667,0.00000000
