operator,classic:greedy_insertion,classic:regret_2,classic:regret_3,classic:greedy_with_noise,classic:best_position_first,classic:sequential_insertion,control:sequential_rewrite,specialist:block_reinsert,specialist:new_route,qwen:chain_00:g08,qwen:chain_01:g07,qwen:chain_02:g08,qwen:chain_03:g06
classic:greedy_insertion,0.00000000,0.14540338,0.15431520,0.17073171,0.20028143,0.08799250,0.08799250,0.08799250,0.33339587,0.30600375,0.12382739,0.17148218,0.20666041
classic:regret_2,0.14540338,0.00000000,0.05675422,0.21313321,0.21069418,0.11228893,0.11228893,0.11228893,0.40515947,0.24681051,0.09183865,0.08864916,0.17523452
classic:regret_3,0.15431520,0.05675422,0.00000000,0.17363977,0.19540338,0.09530957,0.09530957,0.09530957,0.40975610,0.29352720,0.09390244,0.10637899,0.15919325
classic:greedy_with_noise,0.17073171,0.21313321,0.17363977,0.00000000,0.10741088,0.10403377,0.10403377,0.10403377,0.37579737,0.43151970,0.20525328,0.19530957,0.17720450
classic:best_position_first,0.20028143,0.21069418,0.19540338,0.10741088,0.00000000,0.09015009,0.09015009,0.09015009,0.34136961,0.32504690,0.20806754,0.22823640,0.18367730
classic:sequential_insertion,0.08799250,0.11228893,0.09530957,0.10403377,0.09015009,0.00000000,0.00000000,0.00000000,0.37607880,0.34840525,0.14005629,0.16482176,0.16238274
control:sequential_rewrite,0.08799250,0.11228893,0.09530957,0.10403377,0.09015009,0.00000000,0.00000000,0.00000000,0.37607880,0.34840525,0.14005629,0.16482176,0.16238274
specialist:block_reinsert,0.08799250,0.11228893,0.09530957,0.10403377,0.09015009,0.00000000,0.00000000,0.00000000,0.37607880,0.34840525,0.14005629,0.16482176,0.16238274
specialist:new_route,0.33339587,0.40515947,0.40975610,0.37579737,0.34136961,0.37607880,0.37607880,0.37607880,0.00000000,0.26435272,0.34699812,0.45431520,0.38958724
qwen:chain_00:g08,0.30600375,0.24681051,0.29352720,0.43151970,0.32504690,0.34840525,0.34840525,0.34840525,0.26435272,0.00000000,0.22401501,0.32636023,0.33902439
qwen:chain_01:g07,0.12382739,0.09183865,0.09390244,0.20525328,0.20806754,0.14005629,0.14005629,0.14005629,0.34699812,0.22401501,0.00000000,0.14249531,0.18020638
qwen:chain_02:g08,0.17148218,0.08864916,0.10637899,0.19530957,0.22823640,0.16482176,0.16482176,0.16482176,0.45431520,0.32636023,0.14249531,0.00000000,0.14662289
qwen:chain_03:g06,0.20666041,0.17523452,0.15919325,0.17720450,0.18367730,0.16238274,0.16238274,0.16238274,0.38958724,0.33902439,0.18020638,0.14662289,0.00000000
