operator,classic:greedy_insertion,classic:regret_2,classic:regret_3,classic:greedy_with_noise,classic:best_position_first,classic:sequential_insertion,control:sequential_rewrite,specialist:block_reinsert,specialist:new_route,qwen:chain_00:g08,qwen:chain_01:g07,qwen:chain_02:g08,qwen:chain_03:g06
classic:greedy_insertion,0.00000000,0.27496998,0.26043241,0.30956464,0.28102291,0.27444775,0.27444775,0.27444775,0.34363375,0.39480000,0.25591762,0.27964609,0.37030526
classic:regret_2,0.27496998,0.00000000,0.13655676,0.27522221,0.27179200,0.23830134,0.23830134,0.23830134,0.35332426,0.40043551,0.21008299,0.18016790,0.36406308
classic:regret_3,0.26043241,0.13655676,0.00000000,0.29131993,0.27748443,0.25294242,0.25294242,0.25294242,0.34995276,0.40106722,0.20126910,0.20542201,0.36942991
classic:greedy_with_noise,0.30956464,0.27522221,0.29131993,0.00000000,0.21873636,0.29426185,0.29426185,0.29426185,0.34836620,0.39917144,0.31446912,0.28192491,0.38235234
classic:best_position_first,0.28102291,0.27179200,0.27748443,0.21873636,0.00000000,0.24892804,0.24892804,0.24892804,0.34923193,0.39917181,0.30040328,0.27744128,0.37694683
classic:sequential_insertion,0.27444775,0.23830134,0.25294242,0.29426185,0.24892804,0.00000000,0.00000000,0.00000000,0.34459778,0.41352649,0.25785110,0.27853676,0.34883391
control:sequential_rewrite,0.27444775,0.23830134,0.25294242,0.29426185,0.24892804,0.00000000,0.00000000,0.00000000,0.34459778,0.41352649,0.25785110,0.27853676,0.34883391
specialist:block_reinsert,0.27444775,0.23830134,0.25294242,0.29426185,0.24892804,0.00000000,0.00000000,0.00000000,0.34459778,0.41352649,0.25785110,0.27853676,0.34883391
specialist:new_route,0.34363375,0.35332426,0.34995276,0.34836620,0.34923193,0.34459778,0.34459778,0.34459778,0.00000000,0.31681878,0.34951388,0.35148777,0.34472879
qwen:chain_00:g08,0.39480000,0.40043551,0.40106722,0.39917144,0.39917181,0.41352649,0.41352649,0.41352649,0.31681878,0.00000000,0.41193083,0.39235349,0.40540555
qwen:chain_01:g07,0.25591762,0.21008299,0.20126910,0.31446912,0.30040328,0.25785110,0.25785110,0.25785110,0.34951388,0.41193083,0.00000000,0.23820807,0.36346423
qwen:chain_02:g08,0.27964609,0.18016790,0.20542201,0.28192491,0.27744128,0.27853676,0.27853676,0.27853676,0.35148777,0.39235349,0.23820807,0.00000000,0.35655164
qwen:chain_03:g06,0.37030526,0.36406308,0.36942991,0.38235234,0.37694683,0.34883391,0.34883391,0.34883391,0.34472879,0.40540555,0.36346423,0.35655164,0.00000000
