operator,classic:greedy_insertion,classic:regret_2,classic:regret_3,classic:greedy_with_noise,classic:best_position_first,classic:sequential_insertion,control:sequential_rewrite,specialist:block_reinsert,specialist:new_route,qwen:chain_00:g08,qwen:chain_01:g07,qwen:chain_02:g08,qwen:chain_03:g06
classic:greedy_insertion,0.00000000,0.74193548,0.74193548,0.77906977,0.77631579,0.81632653,0.81159420,0.88405797,0.75555556,0.86400000,0.87401575,0.89634146,0.86400000
classic:regret_2,0.74193548,0.00000000,0.00000000,0.90909091,0.89473684,0.80487805,0.87692308,0.94160584,0.79487179,0.93600000,0.92800000,0.95121951,0.93600000
classic:regret_3,0.74193548,0.00000000,0.00000000,0.90909091,0.89473684,0.80487805,0.87692308,0.94160584,0.79487179,0.93600000,0.92800000,0.95121951,0.93600000
classic:greedy_with_noise,0.77906977,0.90909091,0.90909091,0.00000000,0.61111111,0.77659574,0.65048544,0.78034682,0.79787234,0.60839161,0.65771812,0.74736842,0.65540541
classic:best_position_first,0.77631579,0.89473684,0.89473684,0.61111111,0.00000000,0.60810811,0.60439560,0.77160494,0.73750000,0.65467626,0.66666667,0.79144385,0.74496644
classic:sequential_insertion,0.81632653,0.80487805,0.80487805,0.77659574,0.60810811,0.00000000,0.70422535,0.73846154,0.53333333,0.80314961,0.81395349,0.85628743,0.82170543
control:sequential_rewrite,0.81159420,0.87692308,0.87692308,0.65048544,0.60439560,0.70422535,0.00000000,0.79487179,0.78378378,0.73381295,0.71739130,0.80555556,0.65648855
specialist:block_reinsert,0.88405797,0.94160584,0.94160584,0.78034682,0.77160494,0.73846154,0.79487179,0.00000000,0.81751825,0.74111675,0.75500000,0.67741935,0.73469388
specialist:new_route,0.75555556,0.79487179,0.79487179,0.79787234,0.73750000,0.53333333,0.78378378,0.81751825,0.00000000,0.79032258,0.82945736,0.86144578,0.79032258
qwen:chain_00:g08,0.86400000,0.93600000,0.93600000,0.60839161,0.65467626,0.80314961,0.73381295,0.74111675,0.79032258,0.00000000,0.57228916,0.63184080,0.59523810
qwen:chain_01:g07,0.87401575,0.92800000,0.92800000,0.65771812,0.66666667,0.81395349,0.71739130,0.75500000,0.82945736,0.57228916,0.00000000,0.62000000,0.57228916
qwen:chain_02:g08,0.89634146,0.95121951,0.95121951,0.74736842,0.79144385,0.85628743,0.80555556,0.67741935,0.86144578,0.63184080,0.62000000,0.00000000,0.66504854
qwen:chain_03:g06,0.86400000,0.93600000,0.93600000,0.65540541,0.74496644,0.82170543,0.65648855,0.73469388,0.79032258,0.59523810,0.57228916,0.66504854,0.00000000
