chain,generation,seed,status,attempts,error,l0_parent,l0_ancestor,l2_parent_calibration,l2_parent_validation,l2_ancestor_calibration,l2_ancestor_validation,l2_nearest_history_calibration,l2_nearest_history_validation,l2_nearest_history_calibration_adjusted,l2_nearest_history_validation_adjusted,self_noise_calibration,self_noise_validation,mean_gain_calibration,mean_gain_validation,behavior_revisit
0,0,sequential,seed,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,3.1838720149490105,4.685431406370864,
0,1,sequential,evaluation_failed,0,AttributeError: 'Problem' object has no attribute 'l',nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
0,2,sequential,evaluation_failed,0,AssertionError: solution contains an empty or infeasible route,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
0,3,sequential,valid,0,,0.8941176470588236,0.8941176470588236,0.23971420583160213,0.24203564371185746,0.23971420583160213,0.24203564371185746,0.23971420583160213,0.24203564371185746,0.23405582402303524,0.23322868006618414,0.005658381808566898,0.008806963645673325,4.8172717878847795,5.614603419344027,True
0,4,sequential,valid,0,,0.6595744680851063,0.8956043956043956,0.18121519041536058,0.18091153321670367,0.27528466112686933,0.24028994063926143,0.18121519041536058,0.18091153321670367,0.0,0.0,0.22418231488118465,0.18683639236854682,4.771115588277114,5.003082170085093,True
0,5,sequential,valid,0,,0.5118483412322274,0.893491124260355,0.19159262936885496,0.1989038525100888,0.2401501096684023,0.25135381227161624,0.11489137535990931,0.12407227041763638,0.0,0.012067460141541975,0.0,0.0,4.231470158000688,5.395108775786231,True
0,6,sequential,evaluation_failed,0,AssertionError: solution contains an empty or infeasible route,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
0,7,sequential,valid,0,,0.6548223350253808,0.8484848484848485,0.3722845395260542,0.3966317198728366,0.3748237452016242,0.39998022164334673,0.37197123365816087,0.3966317198728366,0.0,0.01760490661385844,0.37742642043428765,0.37902681325897813,-4.52864776179595,-4.766813220199131,False
0,8,sequential,valid,0,,0.7534883720930232,0.8622754491017964,0.40248528130567535,0.40526948500398685,0.41352649261364743,0.4119973189776146,0.393309852923977,0.40261216988305415,0.0,0.0,0.41085634089919837,0.4043797434218071,-10.647595038926543,-9.360332855463778,False
1,0,regret_2,seed,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,4.827928631371383,5.6514733499279215,
1,1,regret_2,evaluation_failed,0,TypeError: 'int' object is not subscriptable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
1,2,regret_2,valid,0,,0.9310344827586207,0.9310344827586207,0.35175722710075624,0.37036129753839064,0.35175722710075624,0.37036129753839064,0.35175722710075624,0.37036129753839064,0.0,0.0,0.37778592583881343,0.38203930104781025,-1.4391025185227109,-0.749672505336787,True
1,3,regret_2,valid,0,,0.7634408602150538,0.944,0.3586779149336032,0.37057056237402397,0.21613914317941996,0.21804074871211326,0.21613914317941996,0.21804074871211326,0.0,0.0,0.0,0.0,4.192347462340498,5.467339360607411,True
1,4,regret_2,evaluation_failed,0,NameError: name 'c' is not defined,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
