problem,instance,repeat,block,destroy,repair,seed,n_remove,routes_before,routes_after,cost_before,cost_after,gain,relative_gain_pct
cvrp,0,0,0,random_removal,greedy_insertion,15336196180900590447,10,8,8,19.96090138916856,19.738912709225016,0.22198867994354288,1.1121175122081473
cvrp,0,0,0,random_removal,regret_2,7971086580457912539,10,8,8,19.96090138916856,19.31118181456447,0.649719574604088,3.254961095878402
cvrp,0,0,0,random_removal,regret_3,13652801504400678522,10,8,8,19.96090138916856,19.31118181456447,0.649719574604088,3.254961095878402
cvrp,0,0,0,random_removal,greedy_with_noise,15623614376185770855,10,8,8,19.96090138916856,19.54105208760409,0.41984930156446865,2.1033584274520423
cvrp,0,0,0,random_removal,best_position_first,5189364354949950430,10,8,8,19.96090138916856,20.191442045396382,-0.2305406562278236,-1.1549611499655148
cvrp,0,0,0,random_removal,sequential_insertion,15469038367081097704,10,8,8,19.96090138916856,19.7058350294742,0.2550663596943572,1.2778298671059243
cvrp,0,0,0,shaw_removal,greedy_insertion,117473776165045232,10,8,8,19.96090138916856,18.37038799058731,1.5905133985812476,7.968144161286788
cvrp,0,0,0,shaw_removal,regret_2,5643541476169303175,10,8,8,19.96090138916856,18.380001718803165,1.580899670365394,7.919981365286651
cvrp,0,0,0,shaw_removal,regret_3,2328504578251071305,10,8,8,19.96090138916856,18.681756137241102,1.2791452519274564,6.408253951004251
cvrp,0,0,0,shaw_removal,greedy_with_noise,8157172123499889902,10,8,8,19.96090138916856,18.716029471316606,1.2448719178519525,6.23655161448501
cvrp,0,0,0,shaw_removal,best_position_first,8594920539251760358,10,8,8,19.96090138916856,18.5638267268973,1.3970746622712582,6.999055979653088
cvrp,0,0,0,shaw_removal,sequential_insertion,13443460538938572421,10,8,8,19.96090138916856,18.681756137241102,1.2791452519274564,6.408253951004251
cvrp,0,0,0,worst_removal,greedy_insertion,6674495361553446376,10,8,8,19.96090138916856,17.928095961970573,2.032805427197985,10.183936023555791
cvrp,0,0,0,worst_removal,regret_2,17961680741319302831,10,8,8,19.96090138916856,18.410600833890705,1.550300555277854,7.76668610826913
cvrp,0,0,0,worst_removal,regret_3,16189124310014357476,10,8,8,19.96090138916856,17.806066045235863,2.154835343932696,10.795280743694173
cvrp,0,0,0,worst_removal,greedy_with_noise,10148704272244348674,10,8,8,19.96090138916856,18.151629200865187,1.809272188303371,9.064080589492525
cvrp,0,0,0,worst_removal,best_position_first,8282880008344367897,10,8,8,19.96090138916856,18.08956415565065,1.8713372335179095,9.375013668137044
cvrp,0,0,0,worst_removal,sequential_insertion,10044122708387804937,10,8,8,19.96090138916856,17.905193804798152,2.0557075843704062,10.298671108539722
cvrp,0,0,0,route_removal,greedy_insertion,590512871415538343,10,8,8,19.96090138916856,20.975583441094724,-1.0146820519261652,-5.083347851599353
cvrp,0,0,0,route_removal,regret_2,11820404632013595279,10,8,7,19.96090138916856,19.406079951568394,0.5548214376001646,2.7795409975885605
cvrp,0,0,0,route_removal,regret_3,899347048685253119,10,8,8,19.96090138916856,19.098558257492947,0.8623431316756118,4.320161273596329
cvrp,0,0,0,route_removal,greedy_with_noise,927007624207414351,10,8,8,19.96090138916856,20.427125958082804,-0.4662245689142459,-2.335688954243493
cvrp,0,0,0,route_removal,best_position_first,2543856553355614472,10,8,8,19.96090138916856,20.42000684737264,-0.4591054582040819,-2.3000236775539986
