task,method,seed,source,cost,valid,attempts,calls,tokens,hypothesis_eligible
tsp,hypoevo,2024,pilot-formatfix-20260917/seed2024/tsp/hypoevo/2024,6.563600503936398,17,17,28,137852,13
tsp,no_memory,2024,pilot-formatfix-20260917/seed2024/tsp/no_memory/2024,7.077882315088054,18,19,28,41117,10
tsp,eoh,2024,pilot-real-v3-20260917/seed2024/tsp/eoh/2024,6.855431757758524,24,28,28,43302,0
cvrp,hypoevo,2024,pilot-formatfix-20260917/seed2024/cvrp/hypoevo/2024,14.10465451158409,13,17,28,127770,9
cvrp,no_memory,2024,pilot-formatfix-20260917/seed2024/cvrp/no_memory/2024,14.288999649514984,16,19,28,43746,8
cvrp,eoh,2024,pilot-real-v3-20260917/seed2024/cvrp/eoh/2024,14.226357381654871,13,28,28,25750,0
tsp,hypoevo,2025,pilot-formatfix-20260917/seed2025/tsp/hypoevo/2025,6.834646285974302,16,17,28,126050,11
tsp,no_memory,2025,pilot-formatfix-20260917/seed2025/tsp/no_memory/2025,6.509035683691285,17,19,28,45106,10
tsp,eoh,2025,pilot-real-v3-20260917/seed2025/tsp/eoh/2025,6.809623300216562,25,28,28,42940,0
cvrp,hypoevo,2025,pilot-formatfix-20260917/seed2025/cvrp/hypoevo/2025,14.10081639471879,13,16,28,128142,10
cvrp,no_memory,2025,pilot-formatfix-20260917/seed2025/cvrp/no_memory/2025,14.310396688293796,15,19,28,38333,9
cvrp,eoh,2025,pilot-real-v3-20260917/seed2025/cvrp/eoh/2025,14.001803474073537,17,28,28,25697,0
tsp,hypoevo,2026,pilot-formatfix-20260917/seed2026/tsp/hypoevo/2026,6.95396465866129,15,17,28,132473,10
tsp,no_memory,2026,pilot-formatfix-20260917/seed2026/tsp/no_memory/2026,6.457334594996187,16,19,28,44587,7
tsp,eoh,2026,pilot-real-v3-20260917/seed2026/tsp/eoh/2026,6.832575831792965,22,28,28,33452,0
cvrp,hypoevo,2026,pilot-formatfix-20260917/seed2026/cvrp/hypoevo/2026,14.017265130301961,15,17,28,136848,10
cvrp,no_memory,2026,pilot-formatfix-20260917/seed2026/cvrp/no_memory/2026,14.288999649514984,16,19,28,51045,10
cvrp,eoh,2026,pilot-real-v3-20260917/seed2026/cvrp/eoh/2026,13.990571394736556,17,28,28,25561,0
