problem,instance,repeat,block,destroy,repair,seed,n_remove,routes_before,routes_after,cost_before,cost_after,gain,relative_gain_pct
cvrp,0,0,0,random_removal,greedy_insertion,15336196180900590447,3,2,2,6.009890723821367,5.6214619136223885,0.38842881019897835,6.463159282736464
cvrp,0,0,0,random_removal,regret_2,7971086580457912539,3,2,2,6.009890723821367,5.823675091293645,0.18621563252772155,3.098486163643871
cvrp,0,0,0,random_removal,regret_3,13652801504400678522,3,2,2,6.009890723821367,5.797544225856607,0.21234649796476024,3.5332838436326925
cvrp,0,0,0,random_removal,greedy_with_noise,15623614376185770855,3,2,2,6.009890723821367,5.824163982597215,0.18572674122415211,3.0903513850591025
cvrp,0,0,0,random_removal,best_position_first,5189364354949950430,3,2,2,6.009890723821367,5.007126849928268,1.002763873893099,16.685226403842087
cvrp,0,0,0,random_removal,sequential_insertion,15469038367081097704,3,2,2,6.009890723821367,5.653210034939136,0.35668068888223114,5.934894747228234
cvrp,0,0,0,shaw_removal,greedy_insertion,117473776165045232,3,2,2,6.009890723821367,5.8811697394723605,0.12872098434900625,2.1418190490352127
cvrp,0,0,0,shaw_removal,regret_2,5643541476169303175,3,2,2,6.009890723821367,5.791921166064974,0.21796955775639315,3.626847271821908
cvrp,0,0,0,shaw_removal,regret_3,2328504578251071305,3,2,2,6.009890723821367,5.295098682661285,0.7147920411600817,11.893594642692333
cvrp,0,0,0,shaw_removal,greedy_with_noise,8157172123499889902,3,2,2,6.009890723821367,5.880744412910781,0.1291463109105857,2.1488961587718935
cvrp,0,0,0,shaw_removal,best_position_first,8594920539251760358,3,2,2,6.009890723821367,5.824163982597215,0.18572674122415211,3.0903513850591025
cvrp,0,0,0,shaw_removal,sequential_insertion,13443460538938572421,3,2,2,6.009890723821367,5.765844271748646,0.24404645207272058,4.060746913507016
cvrp,0,0,0,worst_removal,greedy_insertion,6674495361553446376,3,2,2,6.009890723821367,5.653210034939136,0.35668068888223114,5.934894747228234
cvrp,0,0,0,worst_removal,regret_2,17961680741319302831,3,2,2,6.009890723821367,5.24189076946087,0.767999954360497,12.778933755257484
cvrp,0,0,0,worst_removal,regret_3,16189124310014357476,3,2,2,6.009890723821367,5.653210034939136,0.35668068888223114,5.934894747228234
cvrp,0,0,0,worst_removal,greedy_with_noise,10148704272244348674,3,2,2,6.009890723821367,5.475047988653406,0.5348427351679605,8.899375375462446
cvrp,0,0,0,worst_removal,best_position_first,8282880008344367897,3,2,2,6.009890723821367,5.6214619136223885,0.38842881019897835,6.463159282736464
cvrp,0,0,0,worst_removal,sequential_insertion,10044122708387804937,3,2,2,6.009890723821367,5.282794926871938,0.7270957969494285,12.098319759250252
cvrp,0,0,0,route_removal,greedy_insertion,590512871415538343,3,2,2,6.009890723821367,5.880744412910781,0.1291463109105857,2.1488961587718935
cvrp,0,0,0,route_removal,regret_2,11820404632013595279,3,2,2,6.009890723821367,5.98893327754748,0.020957446273886404,0.3487159290736769
cvrp,0,0,0,route_removal,regret_3,899347048685253119,3,2,2,6.009890723821367,5.653210034939136,0.35668068888223114,5.934894747228234
cvrp,0,0,0,route_removal,greedy_with_noise,927007624207414351,3,2,2,6.009890723821367,5.653210034939136,0.35668068888223114,5.934894747228234
cvrp,0,0,0,route_removal,best_position_first,2543856553355614472,3,2,2,6.009890723821367,5.653210034939136,0.35668068888223114,5.934894747228234
cvrp,0,0,0,route_removal,sequential_insertion,13116909284864351437,3,2,2,6.009890723821367,5.653210034939136,0.35668068888223114,5.934894747228234
cvrp,0,0,0,cluster_removal,greedy_insertion,13150599452388135471,3,2,2,6.009890723821367,6.143228609153979,-0.1333378853326126,-2.218640761704735
cvrp,0,0,0,cluster_removal,regret_2,3615355725489489323,3,2,2,6.009890723821367,5.007126849928268,1.002763873893099,16.685226403842087
cvrp,0,0,0,cluster_removal,regret_3,17394563463179343320,3,2,2,6.009890723821367,6.009890723821367,0.0,0.0
cvrp,0,0,0,cluster_removal,greedy_with_noise,2316709768369698497,3,2,2,6.009890723821367,5.456445826021536,0.5534448977998307,9.208901180285103
cvrp,0,0,0,cluster_removal,best_position_first,12528409453243108458,3,2,2,6.009890723821367,6.132361961058243,-0.12247123723687636,-2.0378280215884437
cvrp,0,0,0,cluster_removal,sequential_insertion,13060483967419356548,3,2,2,6.009890723821367,6.009890723821367,0.0,0.0
cvrp,0,0,0,time_oriented_removal,greedy_insertion,12689192757297990793,3,2,2,6.009890723821367,5.007126849928268,1.002763873893099,16.685226403842087
cvrp,0,0,0,time_oriented_removal,regret_2,8207621158870274811,3,2,2,6.009890723821367,6.009890723821367,0.0,0.0
cvrp,0,0,0,time_oriented_removal,regret_3,13617328267100469976,3,2,2,6.009890723821367,5.395753315827632,0.6141374079937352,10.218778280934169
cvrp,0,0,0,time_oriented_removal,greedy_with_noise,3952611505884795994,3,2,2,6.009890723821367,5.987588703414968,0.02230202040639906,0.3710886176016592
cvrp,0,0,0,time_oriented_removal,best_position_first,15844848800123012074,3,2,2,6.009890723821367,5.007126849928268,1.002763873893099,16.685226403842087
cvrp,0,0,0,time_oriented_removal,sequential_insertion,8104503622977605193,3,2,2,6.009890723821367,5.007126849928268,1.002763873893099,16.685226403842087
cvrp,0,1,1,random_removal,greedy_insertion,1951738132100363693,3,2,2,5.3452297669626905,5.084803631431877,0.26042613553081306,4.872122376112459
cvrp,0,1,1,random_removal,regret_2,4910700749252371684,3,2,2,5.3452297669626905,5.3452297669626905,0.0,0.0
cvrp,0,1,1,random_removal,regret_3,12772090323004632766,3,2,2,5.3452297669626905,5.529902875966938,-0.1846731090042475,-3.454914326520784
cvrp,0,1,1,random_removal,greedy_with_noise,6213937305897345676,3,2,2,5.3452297669626905,5.353870523318326,-0.00864075635563566,-0.16165360016966268
cvrp,0,1,1,random_removal,best_position_first,12056923617364654124,3,2,2,5.3452297669626905,5.175525457583474,0.16970430937921677,3.174873986299143
cvrp,0,1,1,random_removal,sequential_insertion,6745255788075450354,3,2,2,5.3452297669626905,5.471985293006085,-0.1267555260433948,-2.371376565079275
cvrp,0,1,1,shaw_removal,greedy_insertion,4033515326306290514,3,2,2,5.3452297669626905,5.205773886870791,0.1394558800918997,2.6089782136931867
cvrp,0,1,1,shaw_removal,regret_2,10894659172223434976,3,2,2,5.3452297669626905,5.3452297669626905,0.0,0.0
cvrp,0,1,1,shaw_removal,regret_3,9855218437586399722,3,2,2,5.3452297669626905,5.344809890434861,0.0004198765278298211,0.00785516331636398
cvrp,0,1,1,shaw_removal,greedy_with_noise,14589852477705062411,3,2,2,5.3452297669626905,5.339755406641725,0.005474360320965488,0.10241580922864936
cvrp,0,1,1,shaw_removal,best_position_first,6354712182107798554,3,2,2,5.3452297669626905,5.224259511523778,0.12097025543891249,2.2631441624192554
cvrp,0,1,1,shaw_removal,sequential_insertion,9728778090702385878,3,2,2,5.3452297669626905,5.084803631431877,0.26042613553081306,4.872122376112459
cvrp,0,1,1,worst_removal,greedy_insertion,12550177183429728517,3,2,2,5.3452297669626905,5.054555202144561,0.29067456481812926,5.438018148718398
cvrp,0,1,1,worst_removal,regret_2,1220318706352709191,3,2,2,5.3452297669626905,5.224259511523778,0.12097025543891249,2.2631441624192554
cvrp,0,1,1,worst_removal,regret_3,9145805542055663378,3,2,2,5.3452297669626905,5.227623289558833,0.11760647740385721,2.200213695784391
cvrp,0,1,1,worst_removal,greedy_with_noise,4937378227815723088,3,2,2,5.3452297669626905,5.3452297669626905,0.0,0.0
cvrp,0,1,1,worst_removal,best_position_first,1413421791027580804,3,2,2,5.3452297669626905,5.175525457583474,0.16970430937921677,3.174873986299143
cvrp,0,1,1,worst_removal,sequential_insertion,4972305158166190843,3,2,2,5.3452297669626905,5.175525457583474,0.16970430937921677,3.174873986299143
cvrp,0,1,1,route_removal,greedy_insertion,7865876888375260125,3,2,2,5.3452297669626905,5.1880281692745776,0.15720159768811293,2.9409698842083505
cvrp,0,1,1,route_removal,regret_2,14390392050718172520,3,2,2,5.3452297669626905,5.339755406641725,0.005474360320965488,0.10241580922864936
cvrp,0,1,1,route_removal,regret_3,10078411382551006948,3,2,2,5.3452297669626905,5.339755406641725,0.005474360320965488,0.10241580922864936
cvrp,0,1,1,route_removal,greedy_with_noise,11910791820398700041,3,2,2,5.3452297669626905,5.339755406641725,0.005474360320965488,0.10241580922864936
cvrp,0,1,1,route_removal,best_position_first,97635769421045728,3,2,2,5.3452297669626905,5.1880281692745776,0.15720159768811293,2.9409698842083505
cvrp,0,1,1,route_removal,sequential_insertion,7928536916833675507,3,2,2,5.3452297669626905,5.3452297669626905,0.0,0.0
cvrp,0,1,1,cluster_removal,greedy_insertion,5491055702141751199,3,2,2,5.3452297669626905,5.3452297669626905,0.0,0.0
cvrp,0,1,1,cluster_removal,regret_2,2812702859761423760,3,2,2,5.3452297669626905,5.2239240639134525,0.12130570304923793,2.269419806777871
cvrp,0,1,1,cluster_removal,regret_3,6176023163673410865,3,2,2,5.3452297669626905,5.529902875966938,-0.1846731090042475,-3.454914326520784
cvrp,0,1,1,cluster_removal,greedy_with_noise,11856664529901868977,3,2,2,5.3452297669626905,5.143302287380795,0.2019274795818955,3.7777137445045015
cvrp,0,1,1,cluster_removal,best_position_first,5527682500917754921,3,2,2,5.3452297669626905,5.529902875966938,-0.1846731090042475,-3.454914326520784
cvrp,0,1,1,cluster_removal,sequential_insertion,17534919323652156108,3,2,2,5.3452297669626905,5.143302287380795,0.2019274795818955,3.7777137445045015
cvrp,0,1,1,time_oriented_removal,greedy_insertion,12714628460705944017,3,2,2,5.3452297669626905,5.339755406641725,0.005474360320965488,0.10241580922864936
cvrp,0,1,1,time_oriented_removal,regret_2,5521409520758356513,3,2,2,5.3452297669626905,5.178237959022266,0.16699180794042423,3.12412777786564
cvrp,0,1,1,time_oriented_removal,regret_3,8414644968325694736,3,2,2,5.3452297669626905,5.339755406641725,0.005474360320965488,0.10241580922864936
cvrp,0,1,1,time_oriented_removal,greedy_with_noise,11772994598667533782,3,2,2,5.3452297669626905,5.278424504187987,0.06680526277470378,1.2498108722586194
cvrp,0,1,1,time_oriented_removal,best_position_first,9557113985593668868,3,2,2,5.3452297669626905,5.146582730020168,0.19864703694252217,3.716342338926227
cvrp,0,1,1,time_oriented_removal,sequential_insertion,13519910124203874451,3,2,2,5.3452297669626905,5.205773886870791,0.1394558800918997,2.6089782136931867
cvrp,1,0,2,random_removal,greedy_insertion,4866954907330365391,3,2,2,5.380695049434532,5.337479999410396,0.04321505002413595,0.8031499578976791
cvrp,1,0,2,random_removal,regret_2,5913165881437363245,3,2,3,5.380695049434532,5.306456843132393,0.07423820630213918,1.379714063333528
cvrp,1,0,2,random_removal,regret_3,7665672442984868993,3,2,2,5.380695049434532,5.32033768169515,0.06035736773938183,1.121739239723777
cvrp,1,0,2,random_removal,greedy_with_noise,4896889992833995070,3,2,2,5.380695049434532,5.1453366532261535,0.23535839620837873,4.374126280081845
cvrp,1,0,2,random_removal,best_position_first,13329017777667281759,3,2,3,5.380695049434532,5.525934033615068,-0.14523898418053616,-2.699260650272303
